ship_id;Ship;Tier;Class;Nation;Damage Con;Duration;Repair;Repair Duration;Repair %;Smoke;Smoke Duration;Smoke Dispersion Time;Dispersion Radius;Hydro;Hydro Duration;Hydro Range;Radar;Radar Duration;Radar Range;Engine Boost;EB Duration;Speed Increase;DFAA;DFAA Duration;DFAA DPS;MBRB;MBRB Duration;MBRB Effect;TRB;Fighter;Spotter;Hydrophone;Hydrophone Range;Sub Surveillance;SS Range;Enhanced Rudder;Res. Battery
3248404240;Statenland;8;CA;Netherlands;;5 s;3;28 s;14.0 %;3;20 s;89 s;450 m;N/A;;;N/A;;;4;60 s;20%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3249452400;River Gambra;7;CA;Commonw.;;5 s;2;28 s;14.0 %;6;10 s;40 s;600 m;3;100 s;4.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3250501424;Admiral Reinhard;6;CA;Germany;4;10 s;N/A;;;N/A;;;;3;110 s;5.5 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3256759600;Södermanland;10;DD;Europe;;5 s;4;14 s;14.0 %;N/A;;;;N/A;;;N/A;;;4;120 s;16%;4;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3256760112;Lübeck;10;DD;Germany;;5 s;N/A;;;3;20 s;97 s;450 m;N/A;;;N/A;;;3;120 s;20%;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3256792528;Petrozavodsk;10;CA;U.S.S.R.;;5 s;2;28 s;14.0 %;N/A;;;;2;100 s;5.0 km;2;15 s;12.0 km;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3256792816;Ravenna;10;CA;Italy;;5 s;3;28 s;14.0 %;4;40 s;10 s;510 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;3;7.0 km;N/A;N/A
3256825168;Comodoro;10;BB;Pan-Am.;;20 s;4;28 s;16.8 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3256825584;Amerigo Vespucci;10;BB;Italy;;15 s;4;28 s;14.0 %;3;45 s;10 s;510 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3256825840;Utah;10;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3256858064;Admiral Orlov;10;CV;U.S.S.R.;;30 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;4;N/A;N/A;;N/A;;N/A;N/A
3256858416;Otto Lilienthal;10;CV;Germany;;30 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;4;N/A;N/A;;N/A;;N/A;N/A
3257874224;Prinz Sigismund;9;BB;Germany;;15 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;;N/A;N/A;N/A;;N/A;;N/A;N/A
3258890000;Admiraal;8;CA;Netherlands;;5 s;3;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;3;120 s;8%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3267278288;Vladimir Monomakh;10;CA;U.S.S.R.;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;3;30 s;12.0 km;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3267278608;Noord-Brabant;10;CA;Netherlands;;5 s;3;28 s;14.0 %;3;20 s;89 s;450 m;N/A;;;N/A;;;4;60 s;20%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3330225968;Schlieffen;10;BB;Germany;4;10 s;3;28 s;14.0 %;N/A;;;;3;110 s;5.5 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3352180720;Frank Friday;9;DD;U.S.A.;;5 s;N/A;;;3;30 s;127 s;450 m;N/A;;;N/A;;;3;120 s;8%;4;40 s;100%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3352213296;AL Ägir;9;CA;Germany;;5 s;3;28 s;14.0 %;N/A;;;;3;120 s;6.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3352246256;Volunteer State;8;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3353294640;AL Bismarck;8;BB;Germany;;15 s;4;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3353327600;AL Hornet;8;CV;U.S.A.;;30 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;4;N/A;N/A;;N/A;;N/A;N/A
3354310384;AL Gorizia;7;CA;Italy;;5 s;N/A;;;2;40 s;10 s;510 m;3;120 s;6.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;4;N/A;;N/A;;N/A;N/A
3361617616;AL Shimakaze;10;DD;Japan;;5 s;N/A;;;3;20 s;97 s;450 m;N/A;;;N/A;;;3;120 s;8%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3361650480;AL Hindenburg;10;CA;Germany;;5 s;4;28 s;14.0 %;N/A;;;;3;120 s;6.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3362732016;AL Kearsarge;9;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3363780304;Ragnarok;8;BB;Japan;;10 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3374266064;Ignis Purgatio;8;BB;Japan;;10 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3425613520;Azuma B;9;CA;Japan;;5 s;4;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;4;N/A;;N/A;;N/A;N/A
