Ship,ship_id,Total_Deaths,TotalBattles,TotalFrags,TotalWins
Vampire II,3760076144,456899,682499,575260,367617
Friesland,3760076080,687272,1026414,783888,541941
Småland,3655218480,642676,1096518,1019442,631619
Błyskawica '52,3540923696,2030,3865,4123,2361
Velos,3761124656,63397,93043,65465,47011
Ragnar,3550360880,362319,609617,519721,337469
Oväsen,3330159920,,,,
Jäger,3750638896,943149,1595090,1137546,824038
Tromp,3655218960,710288,1111123,790777,558930
Groningen,3761125136,657183,937697,651706,484316
Paolo Emilio,3761125104,413462,488589,442313,251157
Alberico da Barbiano,3550361328,140239,195546,142182,96550
[Gearing],3337500656,,,,
GQ Johnny,3436066800,21125,30590,20900,15794
Laffey,3550361584,135499,219767,163445,116980
Benham,3761125360,791276,1385736,1361825,780868
Halford,3750639600,108833,204832,117112,105508
Black,3551410160,594575,958873,732008,521095
Frank Friday,3352180720,,,,
Hull,3539875824,89006,159925,139628,86883
Somers,3760076784,496114,895968,750505,489351
Black B,3740153840,48481,71020,44747,36397
Johnston,3540924400,66182,102997,85278,56113
Forrest Sherman,3655219184,1147206,1609926,1093320,793208
Nanning,3540923600,10650,16254,13159,8595
Lüshun,3760075984,300377,473063,408166,257460
Lüshun B,3340645584,54617,78481,55748,39969
Kléber CLR,3445503824,34328,47943,39130,25371
Marceau,4074649424,1480154,2054485,1512452,1052743
Neustrashimy B,3341694416,3027,4332,2716,2165
Neustrashimy,3551409616,375634,628649,493011,334102
Khabarovsk,4179506640,971620,1571017,1231761,820938
[Grozovoi],3340645840,,,,
ZF-6,3740153648,263213,362543,278759,185502
Z-42,3655218992,243714,390489,313060,215885
Georg Hoffmann,3550361392,186104,269557,204905,141224
Z-44,3750639408,376239,561618,335723,272598
ZF-6 Golden,3551409968,2236,2968,2208,1533
Georg Hoffmann Golden,3539875632,18040,26514,21946,14403
Druid,3760076752,274078,413589,394149,228523
Somme,3750639568,141847,232060,185157,125549
Barfleur,3540924368,14519,24452,19205,12906
Hayate,3760076496,572909,794583,567448,393095
AL Shimakaze,3361617616,92002,148943,118416,77970
STAR Kitakaze,3362666192,33605,45351,33001,23144
Minegumo,3540924112,134869,217798,177344,115361
[Shimakaze],3338548944,,,,
Álvaro de Bazán,3760076208,349825,506751,339277,252939
La Pampa,3550360912,81064,134439,126359,72255
[Midway],3335501808,,,,
Franklin D. Roosevelt,3760175088,218529,655802,596593,342470
Piñatapolis,3330258928,,,,
Max Immelmann,3655317296,413370,1325253,1242547,685885
Werner Voss,3760174896,,,,
Süsshofen,3340744496,,,,
Ocean,3550459856,8163,28977,35653,17032
Malta,3760175056,447780,1131349,1037537,562139
[Audacious],3340744656,,,,
Shinano,3550459600,146960,471594,566308,265413
[Hakuryū],3333404368,,,,
Irresistible,3550426480,58514,109397,101242,56931
Karl XIV Johan B,3341759792,3995,5512,3767,2778
Niord,3540989232,109016,170396,150792,90759
Karl XIV Johan,3761190192,220393,320582,240036,164999
Willem de Eerste,3550426896,78953,121161,109222,62614
Marco Polo,3761190640,490642,774578,518237,387574
Pilus Prior,3551475440,11,15,10,7
Sicilia,3550426864,196822,304235,302990,162164
Pilus Posterior,3540989680,,,,
Giuseppe Verdi,3750704880,164312,236312,179778,123723
Tempesta Nera,3445569264,,,,
Ruggiero di Lauria,3760142064,317202,556682,520465,289675
Rhode Island B,3319740400,30010,48408,44778,25208
Rhode Island,3539941360,209030,338753,314729,178630
Ohio,3760142320,1572877,2494503,2284577,1328956
Kearsarge B,3666819056,72837,136320,104124,72005
BA Montana,3435083760,72413,125609,105002,64756
Indiana,3540989936,23434,37919,33210,20420
Arkansas Beta,4281284592,268280,494314,642914,285356
[Montana],3333371888,,,,
Wisconsin,3529455600,1019868,1672958,1493655,866339
AL Kearsarge,3362732016,51757,95558,64786,48493
Oregon,3550427120,144551,199428,180195,101108
Illinois,3729733616,205830,314805,258823,168925
Kearsarge,3750705136,1228289,2328866,1696706,1212878
Georgia,3530504176,2472349,3697711,3340346,1996023
Missouri,3761190896,2351697,3686654,3088741,1979381
Sun Yat-Sen,3740218576,130464,197425,140100,102509
Xuan Ming,3341759696,,,,
Xuan Wu,3552523472,4822,7757,5952,4078
Taihang,3551474896,163766,279948,239714,146624
Wujing,3750704336,208172,311507,207207,157828
Bajie,3761190096,259778,426634,307667,218566
Louchuan,3729732816,10518,18452,12665,9446
Jean Bart B,3666818896,1076305,1610192,1377525,849662
Jean Bart,3751753552,2811844,4284670,4026851,2293805
Roussillon,3551475536,,,,
Bourgogne,3760142160,1951186,3393808,3307281,1806691
BA Hovercraft,3436131792,22825,35902,33467,19995
Slava,3760141776,1229808,2355960,2047356,1214925
Zarya Svobody,3540989392,,,,
Navarin,3761190352,46014,64408,50689,33666
Sibir,3550426576,113249,146941,142185,80918
AL Sov. Rossiya,3551475152,108439,167837,111885,84965
Pommern,3761190704,1682886,2289538,1497351,1148839
Von Zuckerhoff,3319740208,,,,
[Grosser Kurfürst],3340711728,,,,
Pommern B,3666818864,110220,144301,89017,72166
Grosser Kurfürst,4179572528,5724124,8265367,5895716,4106735
Mecklenburg,3655284528,977951,1622653,1352839,842556
Incomparable,3655284688,690324,1007306,949263,528172
Marlborough,3761190864,252174,415946,284612,207968
Scarlet Thunder,3656333264,78817,126249,87129,64800
[Conqueror],3340711888,,,,
Thunderer,3760142288,2945108,5351169,4121149,2688095
Tsurugi,3719247568,46000,67637,51992,34237
Shikishima,3760142032,1282456,2311575,2042729,1230927
Aki,3539941072,,,,
Iwami,3740219088,509242,798883,515389,397465
Hotaka,3540989648,38162,51808,41970,27862
Musashi,3761190608,2302750,4195231,3963461,2338139
Iwami B,3708761808,33045,49991,32928,25176
Yamato Kai,3550426832,10046,16781,12784,8433
ARP Yamato,3560912592,294849,511679,387002,259030
Hizen,3750704848,201392,323675,222998,161257
Daisen,3729733328,151304,227337,178350,119382
[Yamato],3332323024,,,,
Victoria,3540989360,69283,118477,103262,62865
Comodoro,3256825168,,,,
Valparaíso,3540989264,117714,163052,174461,97763
Brisbane,3760108912,463516,677690,423439,337355
Brisbane B,3445536112,30020,41784,22449,20085
Hector,3761157488,36160,56318,40259,29807
Svea,3550393648,156871,264807,225826,144945
Prins van Oranje,3550394128,316445,518848,388802,268997
Prins van Oranje Golden,3539908368,38394,64278,51447,33964
Van Speijk,3761157904,37090,66335,50835,37639
Ferrante Gonzaga,3540956912,14162,25103,25320,14399
Napoli,3760109296,2190558,3114753,2217072,1576177
Napoli B,3676223216,126538,173231,122928,87508
Varese,3550394096,62824,86615,68727,46247
Michelangelo,3750672112,211882,301885,282930,171625
Messina,3530471152,,,,
Alaska,3760109552,1728203,2754849,2165879,1522268
Hawaii,3539908592,,,,
Cambridge,3540957168,26017,40766,36069,22168
Puerto Rico,3655251952,741779,1128104,744013,576901
Vallejo,3761158128,35156,57761,37360,30285
Salem,3550394352,2286594,3212859,2291716,1592560
Austin,3445536752,510632,786526,679120,408267
Tulsa,3750672368,141458,203569,131575,106187
Alaska B,3666786288,632233,964509,686111,519567
Puerto Rico B,3340679152,1838,2690,1992,1376
Zhuge's Inventions,3539907792,,,,
Tianjin,3540956368,58096,91298,61471,47934
Dalian,3761157328,94332,146878,93854,75422
Incheon,3550393552,46838,72827,57111,36867
Mengchong,3740185808,11582,16126,9456,8289
BA Utnapishtim's Ship,3436099408,27914,38459,30147,21266
Brennus,3550394192,91043,176727,159712,95377
Le Havre,3540957008,,,,
Amiral Lartigue,3529422672,29511,50813,41112,27331
Colbert,3760109392,605654,957052,853179,503584
Carnot,3761157968,229994,349932,218608,180561
Kozma Minin,3540956624,18527,29544,20237,15815
Sevastopol,3550393808,130951,222303,169172,116371
Smolensk,3655251408,2412314,3816582,3060163,1910873
Kronshtadt,3761157584,592443,1014941,817995,573382
Komissar,3445536208,101659,203037,169847,106420
PTRPVLSK,3330192848,,,,
Vyazma,3551442384,331151,421181,318202,219613
Moskva,4179539408,3204797,4926429,3102307,2469015
Smolensk B,3739137488,17626,27796,25261,14584
[Moskva],3340678608,,,,
Stalingrad,3760109008,2322335,3682662,3164241,2003497
Admiral Schröder,3740186416,206737,285806,210786,158381
Roon CLR,3446585136,15948,26594,15494,13594
Bremen,3539908400,,,,
Ägir,3750672176,1002991,1452956,932304,754154
Siegfried,3761157936,324654,514138,411077,283687
Hildebrand,3550394160,160364,369101,296686,202371
[Hindenburg],3340678960,,,,
Blücher,3530471216,104372,177209,137528,95348
AL Ägir,3352213296,48295,66244,37053,33242
AL Hindenburg,3361650480,37116,62056,39979,30208
Defence,3445536720,151984,237549,194446,123624
Gibraltar,3655251920,81266,125636,100538,65303
Plymouth,3760109520,200232,312511,245441,164742
Monmouth,4273911760,37321,59381,48322,30676
AL Azuma,3750672080,195295,365448,235736,188075
Suzuya Golden,3509499600,13645,22819,18585,12246
Yoshino,3749623504,2262968,3938503,2424258,1896957
Chikuma II,3540956880,105814,215089,156057,115884
Chikuma II Golden,3530471120,11228,24279,19733,13704
Yari,3550394064,,,,
Azuma B,3425613520,29720,51222,33597,26365
Yoshino B,3676223184,161754,268615,164807,128588
Suzuya VL,3499013840,41,69,87,45
BA Takahashi,3436099280,10426,16412,9282,8449
Suzuya,3519985360,13849,24003,22021,13304
[Zaō],3315513040,,,,
Azuma,3760109264,1610717,2950590,1954658,1524718
Zaō CLR,3361650384,9043,15600,11623,7893
Kushiro,3539908304,57916,101554,82848,53041
Kitakami,3655251664,125074,232651,205385,122339
Almirante Oquendo,3540956592,119552,190237,117395,96618
Archerfish,3549870064,178549,321169,228040,180226
Gato,3759585264,433988,684389,525271,359446
Surcouf,3549869904,,,,
U-4501,3759585072,938270,1733292,947935,879816
Seal,3549870032,60055,91087,60583,46494
BA Arona's Whale,3434526416,58634,83292,60034,42168
I-56 '44,3539384016,,,,
Admiral Orlov,3256858064,,,,
Utah,3256825840,,,,
Noord-Brabant,3267278608,,,,
Ravenna,3256792816,,,,
Södermanland,3256759600,,,,
Lübeck,3256760112,,,,
Otto Lilienthal,3256858416,,,,
Amerigo Vespucci,3256825584,,,,
Vrijheid,3256792848,,,,
Petrozavodsk,3256792528,,,,
Huron,3752736112,87906,125233,97523,68143
Haida,3763221872,207326,319795,267145,179539
Vampire,3767416176,160743,255926,324354,151804
Kalmar,3555603760,107080,177242,157898,96710
Stord '43,3543020848,49113,67781,39536,33847
Błyskawica '44,3552458032,23440,35488,31232,19566
Błyskawica,3769513264,1122243,1519235,991338,775074
