ID_Type_,ID_Tier_,ID_battles_,ID_aircraft_frags_,ID_capture_points_,ID_damage_dealt_,ID_damage_scouting_,ID_Deaths_,ID_frags_,ID_losses_,ID_survived_battles_,ID_wins_,ID_planes_killed_
Cruiser,1,2974728,0,3966811,40383860912,2230249827,1791468,6137056,1342005,1183260,1625292,1302
Cruiser,2,2948029,0,9545095,56532744565,5054364467,2006960,2999473,1397781,941069,1543265,1050
Cruiser,7,33371045,121579,211098014,1250422697213,352539616633,23361737,22877809,16179043,10009308,17158815,77737279
Battleship,3,4275456,0,18683272,126337349515,14129322450,2603829,4497689,2047818,1671627,2207103,338770
Cruiser,3,7211996,0,31891201,186810723632,20167408864,5042290,7637835,3409617,2169706,3765476,455363
Battleship,4,9430428,0,33418338,350006011023,38978488882,5607312,9475997,4459641,3823116,4895536,12415480
Battleship,5,22936119,60254,80161790,948131783279,185217471540,13755987,20050322,10838401,9180132,12038001,40750418
Destroyer,3,4505545,0,48244110,99383694132,16551606459,3449213,4666480,2140685,1056332,2344282,289594
Cruiser,4,9429964,0,43652012,240037486265,37854507079,7199054,8125622,4508692,2230910,4853482,7002803
Cruiser,5,20834742,29159,93946932,554370136591,146770391403,15854244,14258453,10000586,4980498,10756750,22822845
Destroyer,4,7819812,0,102726407,192329520760,42541158672,5915577,7667782,3691530,1904235,4079947,1006742
Destroyer,2,3344021,0,24231023,74087327164,7693124700,2314311,4570727,1563292,1029710,1773177,1962
Battleship,6,27301726,314597,89138673,1245321404690,261707308586,16644885,22494431,13049078,10656841,14200629,63492846
Cruiser,6,26865531,98404,156100325,812574172706,248257404726,19618882,17134238,12988179,7246649,13847560,58689596
Cruiser,8,44135380,451188,297088382,1905415348128,634214366834,30334554,27509672,21497089,13800826,22602827,153976955
Battleship,9,55710680,874187,193670839,4023501200617,1094544896877,35879784,41736699,27142164,19830896,28551048,173871701
Battleship,8,51838814,800108,189459847,2994124038306,796552414848,33439063,38895590,25125909,18399751,26676378,204792728
Destroyer,6,18802172,0,433391033,443399439142,287691506204,13751163,13035314,9017563,5051009,9770179,15958332
Battleship,2,218667,0,982503,6640393679,606660852,128494,373613,95154,90173,123251,0
Cruiser,9,38871676,303349,248471970,2225369675411,730669441263,24883652,24570731,19012805,13988024,19848372,121583870
Battleship,7,36203557,276140,127946876,1874119644191,433150822115,22866059,29013683,17530140,13337498,18640499,98973246
Destroyer,5,17680487,0,347385158,446435508704,205785959071,12716528,14955177,8261764,4963959,9368953,8785888
Destroyer,7,21803923,0,559652762,588548498824,418664002009,15564130,15098007,10535159,6239793,11254931,19558091
Destroyer,10,48782544,94985,1530124017,2401719852343,2021765843990,32051860,36517389,23865483,16730684,24905369,125864564
Destroyer,9,32177891,15405,1044413122,1336797897445,1095563292660,21642283,23792665,15650663,10535608,16519761,59802997
Destroyer,8,29863245,0,911711475,1033783891615,810772888976,20416408,21349723,14466444,9446837,15387239,51055030
Cruiser,10,76267071,1223680,546976360,5591784921544,1666114292327,47838715,56920157,37465851,28428356,38781338,333255892
Battleship,10,76482689,1401434,218821040,7084115757050,1581277300836,46767217,62246540,37523042,29715472,38939364,290263700
Submarine,6,3704912,0,44846934,77402080429,44848954539,2412255,1839086,1799463,1292657,1904314,0
Submarine,10,6059106,0,91305966,252448090540,211721342139,3663908,3492039,2965232,2395198,3092655,0
Aircraft Carrier,4,3079400,2188722,4406792,93531076099,41419608667,1213520,2462210,1465460,1865880,1609869,9363927
Submarine,8,3882700,0,58990140,105735017191,90001525807,2528647,1883972,1891160,1354053,1990556,0
Cruiser,11,3229212,36704,21420154,299233402572,72953705490,2008123,3067191,1571517,1221089,1656919,15531945
Aircraft Carrier,6,8223219,5572834,6459964,344754219306,237364383050,2883630,6450627,3917667,5339589,4300189,39117988
Aircraft Carrier,8,13620397,10278658,8189101,895836535287,712829090746,4248819,12122613,6551264,9371578,7064135,66922457
Destroyer,11,2305728,0,64938399,130450767266,105959753188,1499067,1815359,1125373,806661,1179852,6446066
Battleship,11,3695022,69861,7993345,411992026291,75162849488,2222439,3249345,1809747,1472583,1884400,14611858
Aircraft Carrier,10,10507721,8440466,5224540,1018192532425,930299551128,3338196,9992370,5126376,7169525,5378484,59726545
Aircraft Carrier,11,1024754,915477,368560,127791493094,76883088612,382402,1141085,499307,642352,525211,5975282

